"cod_cliente";"primeira_assinatura";"valor_ativo_total";"valor_cancelado_total";"qtd_contratos_ativos";"qtd_contratos_cancelados";"flg_ja_sofreu_downgrade";"qtd_tarefas_total";"dias_ultima_tarefa";"tarefas_90d";"media_dias_exec";"qtd_tarefas_abertas";"qtd_categorias_distintas";"qtd_subcategorias_distintas";"qtd_grupos_envolvidos";"qt_tarefas_bug";"qt_tarefas_reducao";"qtd_prioridade_normal";"qtd_prioridade_parcial";"qtd_prioridade_urgente";"qtd_prioridade_maxima";"qtd_prioridade_reforco";"perc_prioridade_maxima";"perc_tarefas_abertas";"churn"
"37631";"2017-08-04";"0,00";"79,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37638";"2017-08-18";"0,00";"158,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37664";"2017-07-20";"0,00";"79,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37668";"2017-07-15";"0,00";"79,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37679";"2017-11-15";"235,41";"0,00";"1";"0";"0";"117";"83";"2";"21,0862";"0";"18";"34";"13";"0";"2";"107";"2";"4";"3";"1";"2,5600";"0,0000";"0"
"37681";"2017-07-17";"0,00";"79,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37683";"2017-07-20";"0,00";"237,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37688";"2017-07-24";"0,00";"84,44";"0";"1";"0";"5";"2088";"0";"16,6000";"0";"4";"4";"3";"0";"0";"5";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37694";"2017-07-25";"0,00";"316,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37695";"2017-11-22";"0,00";"237,00";"0";"1";"0";"1";"3100";"0";"461,0000";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37702";"2017-08-21";"0,00";"104,69";"0";"1";"0";"17";"2029";"0";"11,8824";"0";"6";"7";"8";"0";"0";"17";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37707";"2017-08-22";"0,00";"158,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37716";"2021-06-11";"1159,29";"0,00";"1";"0";"0";"21";"117";"0";"17,0476";"0";"10";"17";"10";"0";"1";"17";"0";"2";"2";"0";"9,5200";"0,0000";"0"
"37718";"2017-07-27";"0,00";"268,97";"0";"1";"0";"22";"1687";"0";"29,9091";"0";"6";"9";"6";"0";"0";"22";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37720";"2017-07-26";"0,00";"79,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37721";"2017-07-30";"1338,45";"0,00";"1";"0";"0";"54";"1";"4";"9,0769";"2";"11";"24";"14";"0";"0";"44";"1";"4";"5";"0";"9,2600";"3,7000";"0"
"37729";"2017-07-24";"1782,00";"0,00";"1";"0";"0";"54";"112";"0";"40,0000";"0";"8";"21";"11";"0";"0";"52";"0";"1";"1";"0";"1,8500";"0,0000";"0"
"37730";"2018-09-02";"0,00";"874,00";"0";"1";"0";"10";"2514";"0";"24,0000";"0";"5";"6";"5";"0";"0";"10";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37735";"2017-12-04";"0,00";"81,00";"0";"1";"0";"4";"1910";"0";"10,0000";"0";"4";"4";"3";"0";"0";"4";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37742";"2017-08-07";"0,00";"99,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37743";"2017-08-22";"0,00";"99,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37750";"2017-07-27";"0,00";"79,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
"37755";"2017-08-23";"0,00";"158,00";"0";"1";"0";"0";"0";"0";"0,0000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"0,0000";"1"
