Feature,Coeficiente,Odds_Ratio
dias_ultima_tarefa,1.6912648483174835,5.426339863165511
meses_de_casa,0.839837479219879,2.3159905496024265
qtd_tarefas_total,0.20598987922831377,1.2287407681276061
qt_tarefas_reducao,0.09622017570106006,1.1010014510754855
qtd_prioridade_reforco,0.08506930365277321,1.0887925213825698
qt_tarefas_bug,0.060209106628402134,1.0620586068218507
media_dias_exec,0.05849758592044444,1.060242426181943
perc_prioridade_maxima,0.0015469775983383471,1.0015481747854442
perc_tarefas_abertas,-0.02306878170283132,0.9771952683071536
qtd_tarefas_abertas,-0.23791860509084287,0.7882668493912534
tarefas_90d,-0.5633927122747083,0.5692743995818186
qtd_categorias_distintas,-1.943378044638107,0.14321933041444238
flg_ja_sofreu_downgrade,-3.507316839779296,0.029977240363940096
