cod_cliente,churn_real,churn_predito,probabilidade_churn,diagnostico,flg_ja_sofreu_downgrade,qtd_tarefas_total,dias_ultima_tarefa,tarefas_90d,media_dias_exec,qtd_tarefas_abertas,qtd_categorias_distintas,qt_tarefas_bug,qt_tarefas_reducao,qtd_prioridade_reforco,perc_prioridade_maxima,perc_tarefas_abertas,meses_de_casa
21650,0,1,0.6472433898783803,Falso Positivo (Alarme Falso),0,17,838,0,7.1765,0,8,0,0,0,0.0,0.0,145
46789,0,1,0.6461569116658803,Falso Positivo (Alarme Falso),0,2,111,0,0.0,0,2,0,0,0,0.0,0.0,3
46767,0,1,0.6451769476612088,Falso Positivo (Alarme Falso),0,2,124,0,0.0,0,2,0,0,0,0.0,0.0,4
46159,0,1,0.6447442868071938,Falso Positivo (Alarme Falso),0,0,504,0,0.0,0,0,0,0,0,0.0,0.0,16
46113,0,1,0.6447442868071938,Falso Positivo (Alarme Falso),0,0,504,0,0.0,0,0,0,0,0,0.0,0.0,16
46025,0,1,0.6447442868071938,Falso Positivo (Alarme Falso),0,0,504,0,0.0,0,0,0,0,0,0.0,0.0,16
44691,0,1,0.6394589195808126,Falso Positivo (Alarme Falso),0,10,422,0,10.8,0,4,0,0,0,0.0,0.0,47
46725,0,1,0.6391861258186291,Falso Positivo (Alarme Falso),0,2,142,0,0.0,0,2,0,0,0,0.0,0.0,4
11345,0,1,0.6375852000634397,Falso Positivo (Alarme Falso),0,5,113,0,2.5,0,4,0,0,0,20.0,0.0,3
7596,0,1,0.6328629251225278,Falso Positivo (Alarme Falso),0,42,762,0,43.0,0,8,0,0,0,4.76,0.0,92
45967,0,1,0.6317003512083351,Falso Positivo (Alarme Falso),0,1,434,0,0.0,0,1,0,0,0,0.0,0.0,18
36589,0,1,0.6312775359804322,Falso Positivo (Alarme Falso),0,52,751,0,18.5577,0,8,0,0,0,3.85,0.0,112
42047,0,1,0.6266732868237441,Falso Positivo (Alarme Falso),0,3,667,0,6.0,0,3,0,0,0,0.0,0.0,60
46631,0,1,0.6260874348367739,Falso Positivo (Alarme Falso),0,2,201,0,0.0,0,2,0,0,0,0.0,0.0,6
46633,0,1,0.6260874348367739,Falso Positivo (Alarme Falso),0,2,201,0,0.0,0,2,0,0,0,0.0,0.0,6
46626,0,1,0.6257482899493731,Falso Positivo (Alarme Falso),0,2,202,0,0.0,0,2,0,0,0,0.0,0.0,6
21825,0,1,0.6236438882033076,Falso Positivo (Alarme Falso),0,53,300,0,6.1154,0,7,0,0,0,1.89,0.0,65
45255,0,1,0.6235306900364722,Falso Positivo (Alarme Falso),0,13,247,0,14.5833,0,5,0,0,0,0.0,0.0,34
46438,0,1,0.621202897030417,Falso Positivo (Alarme Falso),0,9,96,0,38.7778,0,6,0,0,0,0.0,0.0,10
39931,0,1,0.6176114682619365,Falso Positivo (Alarme Falso),0,27,233,0,11.1852,0,10,0,0,0,3.7,0.0,93
46321,0,1,0.6172846948247666,Falso Positivo (Alarme Falso),0,1,379,0,1.0,0,1,0,1,0,0.0,0.0,22
46559,0,1,0.6162177723118665,Falso Positivo (Alarme Falso),0,2,240,0,0.0,0,2,0,0,0,0.0,0.0,7
46534,0,1,0.6114256610662204,Falso Positivo (Alarme Falso),0,2,264,0,0.0,0,2,0,0,0,0.0,0.0,8
46525,0,1,0.6114256610662204,Falso Positivo (Alarme Falso),0,2,264,0,0.0,0,2,0,0,0,0.0,0.0,8
39611,0,1,0.6094654905148296,Falso Positivo (Alarme Falso),0,21,497,0,35.1905,0,10,0,0,0,4.76,0.0,95
45611,0,1,0.6042599423171942,Falso Positivo (Alarme Falso),0,3,778,0,35.3333,0,2,0,0,0,0.0,0.0,25
45140,0,1,0.6038467971321497,Falso Positivo (Alarme Falso),0,21,446,0,18.5714,0,5,1,0,0,0.0,0.0,37
46457,0,1,0.6014153709536949,Falso Positivo (Alarme Falso),0,2,303,0,0.0,0,2,0,0,0,0.0,0.0,9
46393,0,1,0.5955131845814948,Falso Positivo (Alarme Falso),0,2,330,0,0.0,0,2,0,0,0,0.0,0.0,10
45428,0,1,0.5900596682323577,Falso Positivo (Alarme Falso),0,7,166,0,42.4286,0,6,0,0,0,0.0,0.0,5
45739,0,1,0.5889674645646749,Falso Positivo (Alarme Falso),0,1,671,0,8.0,0,1,0,0,0,0.0,0.0,22
45844,0,1,0.5846315453003914,Falso Positivo (Alarme Falso),0,2,572,0,0.0,0,1,0,0,0,0.0,0.0,18
46308,0,1,0.5832751243968775,Falso Positivo (Alarme Falso),0,2,385,0,0.0,0,2,0,0,0,0.0,0.0,12
46306,0,1,0.5832751243968775,Falso Positivo (Alarme Falso),0,2,385,0,0.0,0,2,0,0,0,0.0,0.0,12
46630,0,1,0.5813911548223641,Falso Positivo (Alarme Falso),0,3,201,0,0.0,0,3,0,0,0,0.0,0.0,6
46293,0,1,0.5811612129276336,Falso Positivo (Alarme Falso),0,2,391,0,0.0,0,2,0,0,0,0.0,0.0,12
46012,0,1,0.5800107860012396,Falso Positivo (Alarme Falso),0,0,783,0,0.0,0,0,0,0,0,0.0,0.0,25
45352,0,1,0.5793564569762845,Falso Positivo (Alarme Falso),0,32,174,0,5.9677,0,6,0,0,0,0.0,0.0,32
26420,0,1,0.5791695078510843,Falso Positivo (Alarme Falso),0,41,657,0,7.2439,0,10,0,0,0,2.44,0.0,127
46259,0,1,0.5776465364824532,Falso Positivo (Alarme Falso),0,2,411,0,0.0,0,2,0,0,0,0.0,0.0,13
46235,0,1,0.5762323932218723,Falso Positivo (Alarme Falso),0,2,415,0,0.0,0,2,0,0,0,0.0,0.0,13
43381,0,1,0.5759273272340881,Falso Positivo (Alarme Falso),0,46,244,0,16.2174,0,10,0,0,0,13.04,0.0,65
46254,0,1,0.5744629593114495,Falso Positivo (Alarme Falso),0,2,420,0,0.0,0,2,0,0,0,0.0,0.0,13
45826,0,1,0.5641615059107068,Falso Positivo (Alarme Falso),0,5,251,0,14.2,0,5,0,0,0,0.0,0.0,19
43301,0,1,0.560534769983561,Falso Positivo (Alarme Falso),0,31,693,0,19.2903,0,7,0,0,0,12.9,0.0,66
37595,0,1,0.5589545746391056,Falso Positivo (Alarme Falso),0,11,954,0,7.1818,0,6,0,0,0,0.0,0.0,106
45963,0,1,0.5588450368163318,Falso Positivo (Alarme Falso),0,2,484,0,0.0,0,2,0,0,0,0.0,0.0,15
46137,0,1,0.5555351557025561,Falso Positivo (Alarme Falso),0,0,882,0,0.0,0,0,0,0,0,0.0,0.0,28
43673,0,1,0.5537148150233737,Falso Positivo (Alarme Falso),0,19,105,0,22.0,0,10,0,1,0,10.53,0.0,61
20218,0,1,0.5534723209587662,Falso Positivo (Alarme Falso),0,104,313,0,4.6346,0,9,0,0,0,1.92,0.0,66
13541,0,1,0.5534111223642684,Falso Positivo (Alarme Falso),0,56,1,1,2.5714,0,9,0,0,0,0.0,0.0,120
46396,0,1,0.5501741232845796,Falso Positivo (Alarme Falso),0,3,342,0,0.3333,0,3,0,0,0,0.0,0.0,11
19220,0,1,0.5480586133622031,Falso Positivo (Alarme Falso),0,36,105,0,5.75,0,12,0,0,0,0.0,0.0,94
46110,0,1,0.5469666664771816,Falso Positivo (Alarme Falso),0,0,926,0,0.0,0,0,0,0,0,0.0,0.0,30
46003,0,1,0.5458897024137475,Falso Positivo (Alarme Falso),0,0,929,0,0.0,0,0,0,0,0,0.0,0.0,30
46367,0,1,0.5458588141441697,Falso Positivo (Alarme Falso),0,3,351,0,0.0,0,3,0,0,0,0.0,0.0,11
46372,0,1,0.5444221793555796,Falso Positivo (Alarme Falso),0,3,355,0,0.0,0,3,0,0,0,0.0,0.0,11
46937,0,1,0.5404986368828072,Falso Positivo (Alarme Falso),0,0,944,0,0.0,0,0,0,0,0,0.0,0.0,30
46138,0,1,0.5358340526968343,Falso Positivo (Alarme Falso),0,0,967,0,0.0,0,0,0,0,0,0.0,0.0,31
38483,0,1,0.535252271876532,Falso Positivo (Alarme Falso),0,30,106,0,33.9,0,15,0,0,0,0.0,0.0,105
17640,0,1,0.5347630841637067,Falso Positivo (Alarme Falso),0,27,369,0,5.8148,0,6,0,0,0,3.7,0.0,36
46464,0,1,0.5333035842179987,Falso Positivo (Alarme Falso),0,4,267,0,3.3333,0,4,0,0,0,0.0,0.0,9
45821,0,1,0.5312575983527277,Falso Positivo (Alarme Falso),0,2,601,0,0.0,0,2,0,0,0,0.0,0.0,19
39980,0,1,0.5296950122450966,Falso Positivo (Alarme Falso),0,69,173,0,32.0,0,14,0,0,0,0.0,0.0,93
18611,0,1,0.5286309447633474,Falso Positivo (Alarme Falso),0,94,202,0,6.8085,0,15,1,0,0,3.19,0.0,118
46014,0,1,0.5282919783267616,Falso Positivo (Alarme Falso),0,0,1008,0,0.0,0,0,0,0,0,0.0,0.0,33
46044,0,1,0.5275700176457596,Falso Positivo (Alarme Falso),0,0,1010,0,0.0,0,0,0,0,0,0.0,0.0,33
41686,0,1,0.5243283639795012,Falso Positivo (Alarme Falso),0,145,117,0,8.8889,0,13,0,0,0,1.38,0.0,81
14080,0,1,0.5238185064413701,Falso Positivo (Alarme Falso),0,21,198,0,36.4762,0,9,0,0,0,0.0,0.0,32
4071,0,1,0.5216348123101848,Falso Positivo (Alarme Falso),0,57,208,0,9.7193,0,15,0,1,0,1.75,0.0,142
43188,0,1,0.5199364629109937,Falso Positivo (Alarme Falso),0,33,665,0,36.6061,0,9,0,0,0,9.09,0.0,66
23191,0,1,0.5143945276724736,Falso Positivo (Alarme Falso),0,79,426,0,26.2405,0,15,1,1,0,0.0,0.0,139
44069,0,1,0.5132771946794046,Falso Positivo (Alarme Falso),0,18,329,0,15.2222,0,9,0,0,0,5.56,0.0,56
43449,0,1,0.5111563627847078,Falso Positivo (Alarme Falso),0,28,719,0,7.2857,0,6,0,0,0,3.57,0.0,63
44397,0,1,0.503125018468443,Falso Positivo (Alarme Falso),0,70,155,0,5.1571,0,8,0,0,0,0.0,0.0,30
