cod_cliente,churn_real,churn_predito,probabilidade_churn,diagnostico,flg_ja_sofreu_downgrade,qtd_tarefas_total,dias_ultima_tarefa,tarefas_90d,media_dias_exec,qtd_tarefas_abertas,qtd_categorias_distintas,qt_tarefas_bug,qt_tarefas_reducao,qtd_prioridade_reforco,perc_prioridade_maxima,perc_tarefas_abertas,meses_de_casa
1454,1,0,0.35135605576879037,Falso Negativo (Churn Invisível),0,72,798,0,25.5694,0,19,0,0,0,6.94,0.0,90
45505,1,0,0.35363516099467035,Falso Negativo (Churn Invisível),0,14,166,0,44.7857,0,8,0,0,0,0.0,0.0,27
45953,1,0,0.35536237339505256,Falso Negativo (Churn Invisível),0,20,271,0,40.15,0,9,0,1,0,0.0,0.0,16
11735,1,0,0.36160308038265326,Falso Negativo (Churn Invisível),0,34,469,0,73.3235,0,14,0,0,0,0.0,0.0,67
45547,1,0,0.3638040691103455,Falso Negativo (Churn Invisível),0,28,327,0,4.6429,0,9,0,0,0,3.57,0.0,26
37338,1,0,0.3707202845495952,Falso Negativo (Churn Invisível),0,39,427,0,21.3846,0,14,0,0,0,2.56,0.0,91
45622,1,0,0.3731974068191989,Falso Negativo (Churn Invisível),0,27,352,0,9.2963,0,9,0,0,0,0.0,0.0,25
20081,1,0,0.3774049186106604,Falso Negativo (Churn Invisível),0,35,588,0,14.4,0,15,0,0,0,5.71,0.0,87
25003,1,0,0.4041836713492591,Falso Negativo (Churn Invisível),0,46,625,0,45.3913,0,16,0,0,0,2.17,0.0,96
36668,1,0,0.41204651484337934,Falso Negativo (Churn Invisível),0,94,279,0,16.043,0,15,3,0,0,1.06,0.0,111
15606,1,0,0.41390758879961104,Falso Negativo (Churn Invisível),0,624,440,0,17.9324,0,35,21,1,1,4.17,0.0,72
45856,1,0,0.41487429779533513,Falso Negativo (Churn Invisível),0,8,231,0,12.75,0,6,0,0,0,0.0,0.0,18
45460,1,0,0.4191347169780225,Falso Negativo (Churn Invisível),0,51,552,0,25.8824,0,11,0,0,0,3.92,0.0,29
44983,1,0,0.4212246275627124,Falso Negativo (Churn Invisível),0,44,532,0,10.9318,0,11,0,0,0,2.27,0.0,41
42671,1,0,0.425557768461832,Falso Negativo (Churn Invisível),0,43,350,0,21.5581,0,11,0,0,0,6.98,0.0,72
28177,1,0,0.43574201047094896,Falso Negativo (Churn Invisível),0,119,252,0,7.6387,0,14,0,0,0,2.52,0.0,117
