"cod_cliente";"primeira_assinatura";"valor_ativo_total";"valor_cancelado_total";"qtd_contratos_ativos";"qtd_contratos_cancelados";"flg_ja_sofreu_downgrade";"tarefas_90d";"qtd_tarefas_total";"media_dias_exec";"qt_tarefas_sd";"media_dias_exec_tarefa_sd";"qt_tarefas_hd";"media_dias_exec_tarefa_hd";"qt_tarefas_reclamacao";"media_dias_exec_reclamacao";"qt_tarefas_reducao";"media_dias_exec_reducao";"qt_tarefas_bug";"media_dias_exec_bug";"dias_ultima_tarefa";"qtd_categorias_distintas";"qtd_subcategorias_distintas";"qtd_grupos_envolvidos";"qtd_prioridade_normal";"qtd_prioridade_parcial";"qtd_prioridade_urgente";"qtd_prioridade_maxima";"qtd_prioridade_reforco";"perc_prioridade_maxima";"churn"
"22653";"2013-06-17";"120,33";"0,00";"1";"0";"0";"0";"16";"30,5000";"0";"0,0000";"10";"5,4000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"541";"7";"6";"6";"15";"0";"0";"1";"0";"6,2500";"0"
"22663";"2013-06-03";"0,00";"103,89";"0";"1";"0";"0";"9";"29,3333";"0";"0,0000";"4";"8,2500";"0";"0,0000";"0";"0,0000";"0";"0,0000";"311";"8";"2";"5";"9";"0";"0";"0";"0";"0,0000";"1"
"22667";"2020-05-11";"1292,57";"0,00";"1";"0";"0";"2";"58";"18,8621";"7";"20,1429";"31";"7,5806";"0";"0,0000";"1";"4,0000";"1";"174,0000";"15";"17";"30";"15";"53";"0";"2";"3";"0";"5,1700";"0"
"22669";"2013-06-04";"0,00";"158,00";"0";"1";"0";"0";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"400";"0";"0";"0";"0";"0";"0";"0";"0";"0,0000";"1"
"22670";"2013-06-06";"598,23";"0,00";"1";"0";"0";"1";"301";"16,8433";"25";"23,4400";"205";"5,6146";"2";"69,0000";"0";"0,0000";"6";"240,5000";"45";"23";"43";"17";"283";"0";"7";"11";"0";"3,6500";"0"
"22674";"2014-10-08";"0,00";"503,82";"0";"1";"0";"0";"11";"15,1818";"0";"0,0000";"3";"13,6667";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"7";"1";"4";"11";"0";"0";"0";"0";"0,0000";"1"
"22684";"2016-06-20";"0,00";"274,99";"0";"1";"0";"0";"28";"18,0000";"2";"18,0000";"11";"4,8182";"0";"0,0000";"0";"0,0000";"0";"0,0000";"24";"8";"9";"10";"28";"0";"0";"0";"0";"0,0000";"1"
"22687";"2018-02-16";"307,78";"0,00";"1";"0";"0";"4";"35";"29,6364";"2";"16,5000";"11";"16,5455";"0";"0,0000";"0";"0,0000";"0";"0,0000";"10";"14";"12";"12";"35";"0";"0";"0";"0";"0,0000";"0"
"22690";"2014-01-10";"0,00";"235,74";"0";"1";"0";"0";"22";"19,3182";"0";"0,0000";"13";"9,4615";"0";"0,0000";"0";"0,0000";"0";"0,0000";"137";"7";"3";"6";"22";"0";"0";"0";"0";"0,0000";"1"
"22691";"2017-10-02";"0,00";"54,09";"0";"1";"0";"0";"24";"8,2500";"5";"9,8000";"8";"4,5000";"0";"0,0000";"0";"0,0000";"0";"0,0000";"0";"7";"4";"11";"24";"0";"0";"0";"0";"0,0000";"1"
